"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
#200308252941,3,2003/08/25,2008/07/03,ISSUED,9,2011/01/03,3900000,3900000,SCHOOL,0,SCHOOL,0,5434B,4,2660,,NEWHALL,ST,,,LAWRENCE,NIBBI,4158631820,"NIBBI BROTHERS CONSTRUCTION",17TH,ST,"SAN FRANCISCO",CA,94107-0000,"CAS ARCHITECTS",,"EXTERIOR WORK PER PLANNING  SUBMITTAL PLUS INTERIOR TENANT IMPROVEMENTS FOR ENTIRE BLDG. PLANNING APPROVED UNDER PREVIOUS APPL 200305073981."
#200411098885,3,2004/11/09,2008/07/03,ISSUED,9,2009/07/03,100000,283000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,2330,005E,2243,,19TH,AV,,,,,,,,,,,,,,"VERTICAL & HORIZONTAL ADDITION- ONE STORY OVER EXISTING 2 STORY BLDG. HALF BATHRM. STORAGE RM  BEDRM & GUEST ROOM TO BE CONSTRCUTED AT G/F."
#200504140084,6,2005/04/14,2008/07/25,ISSUED,9,,,,"AUTOMOBILE SALES",0,,,3588,1,700,,VALENCIA,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"DEMOLISH 1 STORY COMMERCIAL STORE."
#200504260941,3,2005/04/26,2008/07/24,ISSUED,9,2009/01/24,1000,10000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,3274,23,945,,DARIEN,WY,,,OWNER,,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"REMOVE THE KITCHEN FROM THE GUEST HOUSE AND COMPLY W/THE NOV ON 5/23/2005AND LEGALIZE OFF STREET PARKING TO IN FRONT OF GUEST HOUSE PER PLANS"
#200509092473,3,2005/09/09,2008/07/01,ISSUED,9,2008/11/01,1,1,APARTMENTS,30,APARTMENTS,55,3731,74,1049,,HOWARD,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"COMPLY WITH BID NOV#200558014 FOR PERMANENT INCREASE IN OCCUPANT LOUD OF (E) HOMELESS SHELTER ORIGINALLY APPROVED UNDER PA#9421315S.PREVS OCCUPANT LOAD 30 ON 2ND FLOOR  PROPOSAL OCCUPANT LOAD 25 AT 1ST FLOOR  RETAINING 30 AT 2ND FLOOR FOR TOTAL OCCUPANT LAND OF 55. NO WORK PROPOSED. SEE SF.AB-029."
#200509233724,6,2005/09/23,2008/07/25,ISSUED,9,,,,OFFICE,0,,,3731,126,227,,07TH,ST,,,ERIC,HERRERO,4158247675,"HERRERO CONTRACTORS INC.",OAKDALE,AV,"SAN FRANCISCO",CA,94124-1516,,,"DEMOLISH 1 STORY SMALL VACANT OFFICE"
#200509233725,6,2005/09/23,2008/07/25,ISSUED,9,,,,OFFICE,0,,,3731,126,229,,07TH,ST,,,ERIC,HERRERO,4158247675,"HERRERO CONTRACTORS INC.",OAKDALE,AV,"SAN FRANCISCO",CA,94124-1516,,,"DEMOLISH 1 STORY OFFICE  CAR RENTAL."
#200509304370,3,2005/09/30,2008/07/28,ISSUED,9,2011/01/28,1500000,2380000,"1 FAMILY DWELLING",1,APARTMENTS,6,2409,39,631,,TARAVAL,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"PROVIDE BASMENT PARKING INCREASE G/F RETAIL. ADD 5 RESIDENTIAL UNITS & ALTER (E)UNIT FOR A TOTAL OF 6 RESIDENTAL UNITS.ALL CONDOMINUMS."
#200509304370,3,2005/09/30,2008/07/28,ISSUED,9,2011/01/28,1500000,2380000,"1 FAMILY DWELLING",1,APARTMENTS,6,2409,39,633,,TARAVAL,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"PROVIDE BASMENT PARKING INCREASE G/F RETAIL. ADD 5 RESIDENTIAL UNITS & ALTER (E)UNIT FOR A TOTAL OF 6 RESIDENTAL UNITS.ALL CONDOMINUMS."
#200509304370,3,2005/09/30,2008/07/28,ISSUED,9,2011/01/28,1500000,2380000,"1 FAMILY DWELLING",1,APARTMENTS,6,2409,40,631,,TARAVAL,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"PROVIDE BASMENT PARKING INCREASE G/F RETAIL. ADD 5 RESIDENTIAL UNITS & ALTER (E)UNIT FOR A TOTAL OF 6 RESIDENTAL UNITS.ALL CONDOMINUMS."
