"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
#200109188537,2,2001/09/18,2007/06/11,ISSUED,9,2009/06/11,150000,585000,,,"1 FAMILY DWELLING",1,7155,20,16,,ORIZABA,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"CHARLES LI 1544 ST MARY ST MORACA CA",9256311540,"ERECT A 3-STORY  SINGLE FAMILY DWELLING."
#200311069590,3,2003/11/06,2007/06/28,ISSUED,9,2009/06/28,250000,573000,"2 FAMILY DWELLING",2,APARTMENTS,3,1761,34,1314,,07TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"SIA CONSULTING ENGINEERS",4155840504,"HORIZONTAL & VERTICAL ADDITION & CHANGE OF OCCUPANCY. TO ADD ONE ADDITIONAL UNIT FROM 2 TO 3 UNITS."
#200407088328,3,2004/07/08,2007/06/05,ISSUED,9,2008/06/05,75000,155000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,1569,20,680,,27TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"NEW 3 STORY ADDITION CREATING 3 BEDROOMS & 1 BATHROOM. CONVERT 1 (E) BEDROOM TO BE PART OF LIVING ROOM. CONVERT 1 EXISTING BEDROOM TO OPEN LOFT. CONVERT 1 EXISTING BEDROOM TO STORAGE."
#200409245097,3,2004/09/24,2007/06/05,ISSUED,9,2008/06/05,250000,280000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,632,001F,2737,,CLAY,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"JOHN MANISCALCO ARCHITECTURE            C-25148",,"NEW 1-STORY REAR YARD ADDITION&EXTERIOR STAIR AT 1/LEVEL.REMODEL (E) 1ST LEVEL -UNIT 2.INTERIOR TO INCL NEW INTERIOR STAIR LAUNDRY &STORAGE ROOMS.REMODEL EXIST GARAGE TO PROVIDE 2OFF-STREET PARKING SPACES.REMODEL EXIST 2ND LEVEL(UNIT 1)TO INCL NEW INTERIOR STAIR KITCHEN&FAMILY RM W/ NEW ROOF DECK AT"
#200410197144,3,2004/10/19,2007/06/05,ISSUED,9,2009/06/05,380000,380000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,1778,30,1358,,24TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"VERTICAL & HORIZONTAL ADDITION- ALTERATION TO THE EXISTING BASEMENT. TO CONVERT ONE-CAR GARAGE TO TWO-CAR GARAGE; ALTERATION  EXPANSIO AND REMODELING EXISTING 1ST FLOOR; ADDITION OF 2 MORE STORIES TO EXIST BUILDING TO ADD ANOTHER DWELLING UNIT."
#200411240065,3,2004/11/24,2007/06/22,ISSUED,9,2009/06/22,200000,441500,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,1934,4,1629,,09TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"HORIZONTAL ADDITION @ REAR; RAISE (E) BLDG TO ADD ONE UNIT IN (E) CRAWL SPACE; EXCAVATE BASEMENT TO CREATE 4 CAR GARAGE."
#200412020513,6,2004/12/02,2007/06/11,ISSUED,9,,,,"RETAIL SALES",0,,,573,6,1536,,PACIFIC,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO DEMOLISH 1 STORY AUTO REPAIR."
#200412020517,2,2004/12/02,2007/06/11,ISSUED,9,2011/03/11,1500000,3200000,,,APARTMENTS,6,573,6,1536,,PACIFIC,AV,,,FRANCIS,CASEMENT,4158197938,"CASEMENT CONSTRUCTION",CRAGMONT,AV,"SAN FRANCISCO",CA,94116-0000,,,"TO ERECT 4 STORIES  6 DWELLING UNITS  1 BASEMENT WITH COMMERCIAL."
#200502145470,3,2005/02/14,2007/06/04,ISSUED,9,2008/06/04,100000,100000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2767,9,4120,,22ND,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"SITE PERMIT APPLICATION TO CREATE (N)GARAGE  (N)KITCHENS  BATHROOMS  MISC. REMODEL WORK INCL.(N)LIVING SPACE ON GROUND FLOOR."
#200502185837,3,2005/02/18,2007/06/04,ISSUED,9,2007/12/04,1,20000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,122,5,1110,,GREEN,ST,,,"JOHN BARCEWSKI",,4154795566,"SUNSHINE CONSTRUCTION",WOODBINE,DR,"SAN RAFAEL",CA,94903,,,"TEMP SHORING ALSO SEE TEMP SHORING AT 1122 GREEN  TEMP. SHORING FOR 2004/07/28/9990"
#200505021383,3,2005/05/02,2007/06/04,ISSUED,9,2008/06/04,15000,57000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,5942,9,248,,GAMBIER,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ONE STORY REAR ADDITION.  FRONT ROOM ENLARGEMENT. SITE PERMIT. EXTEND GARAGE."
#200505091848,3,2005/05/09,2007/06/27,ISSUED,9,2009/06/27,350000,350000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,6084,17,466,,LONDON,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"PROPOSED REMODEL  HORIZONTAL FRONT & REAR ADDITION AND 3/F VERTICAL ADDITION."
#200506064283,3,2005/06/06,2007/06/22,ISSUED,9,2009/06/22,300000,757000,"1 FAMILY DWELLING",1,APARTMENTS,3,3610,5,942,,"SOUTH VAN NESS",AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"HORIZONTAL & VERTICAL ADDITION  INTERIOR ALTERATION."
#200507137519,3,2005/07/13,2007/06/05,ISSUED,9,2008/06/05,175000,175000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2382,9,2426,,44TH,AV,,,SERGIO,GALDAMEZ,6502960534,"PYRAMID CONSTRUCTION","SAN DIEGO",AV,"DALY CITY",CA,94014-0000,,,"ADDITION ON THE REAR OF THREE STORIES  HORIZONTAL & VERTICAL ADDITION.IN EACH STORY I WILL BUILD 2 BEDROOMS&1 BATHROOM.1 INTERIOR STAIR CONNECT THE 3 STORIES  &1 EXTERIOR DECK CONNECTED THE EXTERIOR OF THE 3 STORIES. LIKE A 2ND EXIT FOR EMERGENCY."
#200508089662,3,2005/08/08,2007/06/21,ISSUED,9,2008/06/21,150000,260000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2419,10,1727,,ULLOA,ST,,,JIMMY,WONG,4154126882,"JIMMY WONG",BALBOA,ST,"SAN FRANCISCO",CA,94121-0000,,,"REMODEL & HORIZONTAL EXTENSION @REAR OF BLDG.(REPAIR FIRE DAMAGE IN PORTION OF (E)BLDG.)"
#200508241140,3,2005/08/24,2007/06/26,ISSUED,9,2007/12/26,20000,20000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,3581,35,87,,FORD,ST,,,JAMES,SNOW,4576176,"SNOW CONSTRUCTION","P.O. BOX 925",,FAIRFAX,CA,94978-0000,,,"REV'S TO PERMIT:ADDT'L WALLS TO BE REMOVED. 2ND FL. SUBFLOOR TO BE SALVAGED  MINOR REV'S TO KITCHEN  DOOR/WINDOW SCHEDULE. MINOR STRUCTURAL FRAMING ADJUSTMENTS. NOTE: LETTER ATTACHED DESCRIBING REV'S TO EACH SHEET IN GREATER DETAIL.REVISION TO APPL #200401083658."
#200509142861,2,2005/09/14,2007/06/13,ISSUED,9,2009/06/13,375000,450000,,,"2 FAMILY DWELLING",2,5826,18,137,,PORTER,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO ERECT 3 STORIES  2 UNITS RESIDENTIAL BUILDING."
#200509263899,3,2005/09/26,2007/06/20,ISSUED,9,2007/10/20,3000,10000,APARTMENTS,3,APARTMENTS,3,1081,47,2549,,POST,ST,2,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"INSTALL NEW TRELLIS AT THE TOP OF REAR TERRALE  NEW REAR SPIRAL STAIR TO THE ROOF AND NEW ROOF DECK."
#200512230954,3,2005/12/23,2007/06/27,ISSUED,9,2009/06/27,250000,336000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2828,35,931,,ELIZABETH,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ONE STORY VERTICAL ADDITION.FRONT&SIDE YARD ADDITION. INTERIOR REMODEL. GROUND FLOOR EXCAVATION AND FOUNDATION UPGRADE."
#200512291259,3,2005/12/29,2007/06/26,ISSUED,9,2009/06/26,300000,565000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,1546,35,516,,04TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO EXPAND EXISTING BLDG AT SIDE AND VERTICALLY WHILE ADD SECNDARY DWELLING UNIT PER PLANS. ADD 2 STORY AT (E) BUILDING."
#200601091761,3,2006/01/09,2007/06/07,ISSUED,9,2009/06/07,500000,500000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,1738,31,1260,,FUNSTON,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"CONVERT ONE UNIT INTO TWO UNITS. ADD 3RD FLOOR. REAR EXPANSION. ADD PARKING (ONE) TO EXISTING GARAGE. STREET WALL TO BE ALTERED."
#200601192538,3,2006/01/19,2007/06/07,ISSUED,9,2008/06/07,80000,150000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,5889,24,320,,NEY,ST,,,"JIA YUAN CHEN",,4156403946,"KEN'S GENERAL CONSTRUCTION CO","GRANADA AVE",,"SAN FRANCISCO",CA,94112-0000,,,"2 STORY HORIZONTAL REAR ADDITION: GROUND FLOOR FAMILY ROOM  2 BEDROOM AND FULL BATH/2ND FLOOR 2 BEDROOM AND FULL BATH."
#200601253050,3,2006/01/25,2007/06/11,ISSUED,9,2008/06/11,265000,288000,"2 FAMILY DWELLING",2,APARTMENTS,3,1457,030E,432,,26TH,AV,,,"SEAN K.","O BRIEN",4153173734,"WRENWOOD O'BRIEN CONSTRUCTION INC",42ND,AV,"SAN FRANCISCO",CA,94122-0000,,,"FOR SITE PERMIT APPLICATION ONLY. (ADDITION TO (E) BUILDING ONE MORE LEVEL AND REMODEL OF (E) 2 UNITS & GARAGE AS PER PLANS TO ACHIEVE 3 CONDO HOMES."
#200601253050,3,2006/01/25,2007/06/11,ISSUED,9,2008/06/11,265000,288000,"2 FAMILY DWELLING",2,APARTMENTS,3,1457,030E,430,,26TH,AV,,,"SEAN K.","O BRIEN",4153173734,"WRENWOOD O'BRIEN CONSTRUCTION INC",42ND,AV,"SAN FRANCISCO",CA,94122-0000,,,"FOR SITE PERMIT APPLICATION ONLY. (ADDITION TO (E) BUILDING ONE MORE LEVEL AND REMODEL OF (E) 2 UNITS & GARAGE AS PER PLANS TO ACHIEVE 3 CONDO HOMES."
