"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",PLANSETS,15_DAY_HOLD?,"EXISTING STORIES","PROPOSED STORIES","ASSESSOR STORIES","VOLUNTARY SOFT-STORY RETROFIT","NO OF PAGES",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET_NUMBER,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
#200210280077,8,2002/10/28,2015/06/25,ISSUED,9,2003/04/28,8000,8000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,,2,2,2,,0,3582,49,64,,HARTFORD,ST,,,,,,,,,,,,,,,"RELOCATED SINK  DISHWASHER  OUTLET"
#200403229288,6,2004/03/22,2015/06/25,ISSUED,9,2004/12/05,,,"RETAIL SALES",0,,,2,,2,,1,,0,763,6,550,,"GOLDEN GATE",AV,,,PATRICK,HEMINGWAY,5107871148,STEVENS-HEMINGWAY-STEVENS,520,02ND,AV,CROCKETT,CA,94525-0000,"CONTRACTOR:STEVNS-HEMINGWAY LIC#467934 1/31/05",5107871148,"DEMOLISH 2 STORIES OF RETAIL STORE"
#200403229288,6,2004/03/22,2015/06/25,ISSUED,9,2004/12/05,,,"RETAIL SALES",0,,,2,,2,,1,,0,763,6,552,,"GOLDEN GATE",AV,,,PATRICK,HEMINGWAY,5107871148,STEVENS-HEMINGWAY-STEVENS,520,02ND,AV,CROCKETT,CA,94525-0000,"CONTRACTOR:STEVNS-HEMINGWAY LIC#467934 1/31/05",5107871148,"DEMOLISH 2 STORIES OF RETAIL STORE"
#200504281137,2,2005/04/28,2015/06/19,ISSUED,9,2017/06/19,671300,1308800,,,"1 FAMILY DWELLING",1,2,,,3,2,,21,3775,63,136,,"SOUTH PARK",*,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"ERECT 3-STORY WITH 1 BASEMENT BUILDING. COMMERCIAL SPACE @ GROUND FLOOR WITH MEZZANINE ABOVE; OFFICE/STORAGE @ 2ND FLOOR; AND SINGLE FAMILY DWELLING UNIT @ 3RD FLOOR."
#200703307667,3,2007/03/30,2015/06/10,ISSUED,9,2017/06/10,251000,421800,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,9,6612,23,2149,,CASTRO,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"SITE PERMIT APPLICATION FOR HORIZONTAL AND VERTICAL ADDITIONS. INTERIOR TO BE GUTTED  NEW GARAGE  KITCHEN  BATHS  WINDOWS  DOORS  PLMG  ELECTRICAL"
#200705221924,6,2007/05/22,2015/06/26,ISSUED,9,2015/12/26,7000,7000,"1 FAMILY DWELLING",1,,,0,,1,,1,,0,6250,36,101,,LELAND,AV,,,"GUO FU",HUANG,4155843288,"G F CONSTRUCTION CO INC",386,LISBON,ST,"SAN FRANCISCO",CA,94112-0000,,,"DEMOLISH 1 STORY OF 1 DEWELLING UNIT."
#200705221925,2,2007/05/22,2015/06/26,ISSUED,9,2017/12/26,1200000,1500000,,,"FOOD/BEVERAGE HNDLNG",5,2,,,3,1,,18,6250,36,101,,LELAND,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO ERECT NEW 3 STORY M/R2 BUILDING  TYPE VA CONSTRUCTION   5 UNITS OF  RESIDENTIAL. 1 COMMERCIAL UNIT ON GROUND FLOOR. Life safety under separate submittals."
#200705221925,2,2007/05/22,2015/06/26,ISSUED,9,2017/12/26,1200000,1500000,,,"FOOD/BEVERAGE HNDLNG",5,2,,,3,1,,18,6250,36,99,,LELAND,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO ERECT NEW 3 STORY M/R2 BUILDING  TYPE VA CONSTRUCTION   5 UNITS OF  RESIDENTIAL. 1 COMMERCIAL UNIT ON GROUND FLOOR. Life safety under separate submittals."
#200806275522,2,2008/06/27,2015/06/11,ISSUED,9,2019/12/11,5800000,12200000,,,APARTMENTS,41,2,,,4,2,,25,1450,8,369,,18TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ERECT A 4-STORY  41 DWELLING UNITS (RESIDENTIAL CONDO/COMM & GARAGE)  2 BASEMENTS."
#201007065950,8,2010/07/06,2015/06/04,ISSUED,9,2011/07/01,18400,18400,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,0,,3,3,3,,0,3788,113,4,,CLARENCE,PL,0,,"THOMAS SESTAK",,4155662049,"STANDARD CONSTR. INC/STANDARD ROOF",1226,9TH,AV,"SAN FRANCISCO",CA,94122,,,"REROOFING N/A MAHER ORD # 155-13"
