"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#200103235127,2,2001/03/23,2006/03/28,ISSUED,9,2008/03/28,900000,2196000,,,APARTMENTS,12,4991,277,833,,JAMESTOWN,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"BLDG #1 - ERECT NEW RESIDENTIAL BUILDING - 12 DWELLING UNITS  3 STORIES",
#200103235127,2,2001/03/23,2006/03/28,ISSUED,9,2008/03/28,900000,2196000,,,APARTMENTS,12,4991,277,835,,JAMESTOWN,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"BLDG #1 - ERECT NEW RESIDENTIAL BUILDING - 12 DWELLING UNITS  3 STORIES",
#200103235131,2,2001/03/23,2006/03/28,ISSUED,9,2008/03/28,750000,2300000,,,APARTMENTS,10,4991,277,837,,JAMESTOWN,AV,,,,,,,,,,,,,,"BLDG #8 -  ERECT 4 STORIES OF 10 DWELLING UNITS",
#200103235131,2,2001/03/23,2006/03/28,ISSUED,9,2008/03/28,750000,2300000,,,APARTMENTS,10,4991,277,839,,JAMESTOWN,AV,,,,,,,,,,,,,,"BLDG #8 -  ERECT 4 STORIES OF 10 DWELLING UNITS",
#200103235135,2,2001/03/23,2006/03/28,ISSUED,9,2008/03/28,600000,1300000,,,APARTMENTS,8,4991,277,869,,JAMESTOWN,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"BLDG  #9 - NEW RESIDENTIAL  8 DWELLING UNITS  4 STORIES.",
#200108246836,3,2001/08/24,2006/03/30,ISSUED,9,2008/03/30,500000,2000000,APARTMENTS,11,APARTMENTS,11,542,40,1950,,GREEN,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"GABRIEL Y. NG  AIA 1038 POST ST. STE#A S.F CA 9410",4155636655,"RAISE EXISTING BUILDING 4' FOR A 11 CAR PARKING GARAGE. HORIZONTAL EXTENSION TO THE REAR & INTERIOR REMODELING. ALL WORK AS SHOWN ON PLANS.",
#200108246836,3,2001/08/24,2006/03/30,ISSUED,9,2008/03/30,500000,2000000,APARTMENTS,11,APARTMENTS,11,542,40,1960,,GREEN,ST,0,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"GABRIEL Y. NG  AIA 1038 POST ST. STE#A S.F CA 9410",4155636655,"RAISE EXISTING BUILDING 4' FOR A 11 CAR PARKING GARAGE. HORIZONTAL EXTENSION TO THE REAR & INTERIOR REMODELING. ALL WORK AS SHOWN ON PLANS.",
#200112044492,3,2001/12/04,2006/03/21,ISSUED,9,2007/03/21,215000,215000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,542,5,1902,,GREEN,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"VERTICAL & HORIZONTAL ADDITIONS",
#200205297734,3,2002/05/29,2006/03/01,ISSUED,9,2007/03/01,100000,175000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,1847,2,1407,,06TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"PAUL FREUDENTAL ARCHITECT 2433 CAMROSE AV SAN JOSE",,"HORIZONTAL ADDITION-REAR YARD ADDITION OF COVERED PARKING & 3 BEDROOMS WITH 2 BATHS ON EACH FLOOR  PROPOSED ADDITION NOT VISIBLE FROM STREET  & HEIGHT REMAINS UNCHANGED. PAINT (E) BUILDING  UPDATE WINDOWS & ELECTRICAL SYSTEM TO COMPLY WITH CONVERSION OF PG&E SERVICE TO UNDERGROUND UTILITIES.",
#200207232149,3,2002/07/23,2006/03/29,ISSUED,9,2007/12/24,1200000,1200000,"SOCIAL CARE FACILITY",130,"SOCIAL CARE FACILITY",128,2540,8,445,,WAWONA,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"ED SAGE",3792115,"RENOVATE (E) 2ND FLOOR. A B & C WING ROOMS  TO IMPROVE ACCESSIBILITY & FUNCTION.",
