"APPLICATION #","FORM_  NUMBER",FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS","PLAN SETS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,"CONTRACTOR PHONE",COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
#200507137493,2,2005/07/13,2011/03/29,ISSUED,9,2013/03/29,300000,760000,,,"2 FAMILY DWELLING",2,2,5327,38,1665,,PALOU,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ERECT 2 DWELLING UNITS OF 4 STORIES."
#200512281137,2,2005/12/28,2011/03/17,ISSUED,9,2013/03/17,940000,1600000,,,APARTMENTS,5,2,4991,241,101,,"EXECUTIVE PARK",BL,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"BLDG 12 - TO ERECT 3 STORIES OF 5 DWELLINGS (BLDG #12)."
#200512281137,2,2005/12/28,2011/03/17,ISSUED,9,2013/03/17,940000,1600000,,,APARTMENTS,5,2,4991,279,101,,"EXECUTIVE PARK",BL,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"BLDG 12 - TO ERECT 3 STORIES OF 5 DWELLINGS (BLDG #12)."
#200603318054,3,2006/03/31,2011/03/03,ISSUED,9,2012/03/03,150000,150000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,2982,12,278,,JUANITA,WY,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"VERTICAL ADDITION OF NEW FAMILY ROOM ON 3RD STORY OF EXISTING 2 STORY SINGLE FAMILY RESIDENCE. INCLUDES NEW ROOF SHINGLES ON EXISTING ROOF ALSO NEW WINDOWS TO REPLACE EXISTING ON 2ND FLOOR."
#200604108578,3,2006/04/10,2011/03/10,ISSUED,9,2012/03/10,36000,45000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,2986,14,263,,CLAREMONT,BL,,,"WILLIAM HOM",,4156823919,"W J L CONSTRUCTION INC",26TH,AV,"SAN FRANCISCO",CA,94122-0000,,,"ADD ROOMS AND BATH AT GROUND  ADD BREAKFAST LAUNDRY AND HALF BATH AT 2ND FLOOR. ADD (N) BATHROOM AT 3RD FLOOR."
#200701302873,3,2007/01/30,2011/03/02,ISSUED,9,2013/03/02,350000,350000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,114,9,1,,MONTAGUE,PL,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"4TH FLOOR VERTICAL ADDITION  REAR HORIZONTAL ADDITION AT 1ST & 2ND FLOOR  NEW EXTERIOR WINDOWS  NEW EXTERIOR SIDING AT 3 SIDES  INTERIOR REMODEL OF KITCHEN  2 BATHS & LIVING SPACE."
#200710316994,2,2007/10/31,2011/03/22,ISSUED,9,2015/09/22,3540000,6969013.3,,,APARTMENTS,13,2,1028,28,2829,,CALIFORNIA,ST,,,"JAMES PATRICK"," GALLAGHER",4157605197,"ACHILL BEG CONSTRUCTION","MISSION STREET  STE 215",,"SAN FRANCISCO",CA,94110-0000,,,"New 4 story building 13 DWELLING UNITS to be constructed above Basement Garage."
#200712281517,3,2007/12/28,2011/03/17,ISSUED,9,2012/03/17,150000,170000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,133,12,414,,VALLEJO,ST,0,,FRANK,VERNIC,4154747081,"S F REHABITAT",BUCHANAN,ST,"SAN FRANCISCO",CA,94115-0000,,,"FRONT & REAR. PARTIAL RELOCATION OF (E) INTERIOR STAIRWAY  CONSTRUCTION OF (N) REAR EXT. EGRESS STAIR 1 LANDINGS (TO REPLACE (E) ) (N) FRONT FACADE  INCL. UPGRADING OF (E) FENESTRATION  SLIGHT ALTERATION TO INT. LAYOUT (2ND + 3RD FLOORS) REDUCTION OF (E) ROOF DECK."
#200804109302,3,2008/04/10,2011/03/24,ISSUED,9,2013/03/24,170000,328184.76,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,2983,35,617,,ULLOA,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"VERTICAL ADDITION FROM 1 STORY TO 2 STORY BLDG. ADD 3 BEDROOMS  2 BATHROOMS AND A ROOF DECK. CONSTRUCT NEW INTERIOR STAIR BETWEEN GROUND & NEW 2ND STORY."
#200807176984,6,2008/07/17,2011/03/07,ISSUED,9,,,60000,"1 FAMILY DWELLING",1,,,0,5926,21,165,,BRUSSELS,ST,,,JAMES,HIN,4157563355,"GALAXY BUILDING CONSTRUCTION",SHAWNEE,AV,"SAN FRANCISCO",CA,94112-0000,,,"TO DEMOLISH 1 FAMILY DWELLING ON CENTER OF TWO LOTS (LOT #021 & 022)"
