APPLICATION #,FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,ESTIMATED COST,REVISED COST,EXISTING USE,EXISTING UNITS,PROPOSED USE,PROPOSED UNITS,PLANSETS,15_DAY_HOLD?,# OF PAGES,BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,CURRENT STATUS,FEES PAID,FEES DUE
#200507147539,3,14-Jul-05,29-Mar-13,ISSUED,9,29-Mar-15,200000,470000,1 FAMILY DWELLING,1,APARTMENTS,3,2,Y,34,3613,018B,2986,,22ND,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,ALTERATION OF (E) 1ST AND 2ND FLOORS  CONSTRUCTION OF 3RD & 4TH FLOOR  BASEMENT  ADDING TWO ADDT'L UNITS FOR TOTAL OF 3 UNITS - HORIZONTAL & VERTICAL ADDITION.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281117,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Mar-15,741000,1300000,,,APARTMENTS,4,2,,107,4991,631,108,,SEAL COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  4 RESIDENTIAL UNITS. BLDG# 1.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281117,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Mar-15,741000,1300000,,,APARTMENTS,4,2,,107,4991,631,110,,SEAL COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  4 RESIDENTIAL UNITS. BLDG# 1.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281117,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Mar-15,741000,1300000,,,APARTMENTS,4,2,,107,4991,631,112,,SEAL COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  4 RESIDENTIAL UNITS. BLDG# 1.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281117,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Mar-15,741000,1300000,,,APARTMENTS,4,2,,107,4991,631,114,,SEAL COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  4 RESIDENTIAL UNITS. BLDG# 1.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281122,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Mar-15,741000,1200000,,,APARTMENTS,4,2,,106,4991,610,200,,DIAMOND COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  4 RESIDENTIAL UNITS. BLDG# 20.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281122,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Mar-15,741000,1200000,,,APARTMENTS,4,2,,106,4991,610,202,,DIAMOND COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  4 RESIDENTIAL UNITS. BLDG# 20.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281122,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Mar-15,741000,1200000,,,APARTMENTS,4,2,,106,4991,610,204,,DIAMOND COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  4 RESIDENTIAL UNITS. BLDG# 20.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281122,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Mar-15,741000,1200000,,,APARTMENTS,4,2,,106,4991,610,206,,DIAMOND COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  4 RESIDENTIAL UNITS. BLDG# 20.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281128,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Sep-15,1069000,1600000,,,APARTMENTS,6,2,,111,4991,608,120,,DIAMOND COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  6 RESIDENTIAL UNITS. BLDG# 18. BUILDING ADDRESS: 120  122  124  126  128 & 130 DIAMOND COVE TERRACE.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281128,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Sep-15,1069000,1600000,,,APARTMENTS,6,2,,111,4991,608,122,,DIAMOND COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  6 RESIDENTIAL UNITS. BLDG# 18. BUILDING ADDRESS: 120  122  124  126  128 & 130 DIAMOND COVE TERRACE.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281128,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Sep-15,1069000,1600000,,,APARTMENTS,6,2,,111,4991,608,124,,DIAMOND COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  6 RESIDENTIAL UNITS. BLDG# 18. BUILDING ADDRESS: 120  122  124  126  128 & 130 DIAMOND COVE TERRACE.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281128,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Sep-15,1069000,1600000,,,APARTMENTS,6,2,,111,4991,608,128,,DIAMOND COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  6 RESIDENTIAL UNITS. BLDG# 18. BUILDING ADDRESS: 120  122  124  126  128 & 130 DIAMOND COVE TERRACE.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200512281128,2,28-Dec-05,11-Mar-13,ISSUED,9,11-Sep-15,1069000,1600000,,,APARTMENTS,6,2,,111,4991,608,130,,DIAMOND COVE,TR,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,TO ERECT 3 STORIES  6 RESIDENTIAL UNITS. BLDG# 18. BUILDING ADDRESS: 120  122  124  126  128 & 130 DIAMOND COVE TERRACE.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200603025881,2,02-Mar-06,27-Mar-13,ISSUED,9,27-Mar-15,450000,674000,,,2 FAMILY DWELLING,2,2,,42,5825,8,790,,ANDOVER,ST,,,AI-REN I,LEI,4152381202,REN LEI CONSTRUCTION CO,LAWTON,ST,SAN FRANCISCO,CA,94122-0000,,,ERECT 3 STORIES 2 DWELLING UNITS  BLDG.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200606234934,3,23-Jun-06,13-Mar-13,ISSUED,9,13-Mar-15,400000,514000,1 FAMILY DWELLING,1,2 FAMILY DWELLING,2,2,Y,7,6567,13,3736,,CESAR CHAVEZ,ST,,,CARLOS,NIEVES,4152790798,AMPEX CONSTRUCTION,LINDEN,ST,OAKLAND,CA,94609-0000,,,VERTICAL & HORIZONTAL ADDITION & ADDING ONE UNIT  NEW GARAGE.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200805232791,6,23-May-08,01-Mar-13,ISSUED,9,01-Jul-13,5000,5000,PRKNG GARAGE/PRIVATE,0,,,0,,0,4093,7,838,,KANSAS,ST,,,GENE,POLIS,4158231006,CONSTANTINE CONSTRUCTION,KANSAS,ST,SAN FRANCISCO,CA,94122-0000,,,DEMOLISH A SINGLE STORY RESIDENTIAL GARAGE.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200805232796,6,23-May-08,01-Mar-13,ISSUED,9,01-Jul-13,5000,5000,1 FAMILY DWELLING,1,,,0,,0,4093,7,838,,KANSAS,ST,,,GENE,POLIS,4158231006,CONSTANTINE CONSTRUCTION,KANSAS,ST,SAN FRANCISCO,CA,94122-0000,,,DEMOLISH A ONE STORY SINGLE FAMILY DWELLING,,,,,,,,,,,,,,,,,,,,,,,,,,
#200805232798,2,23-May-08,01-Mar-13,ISSUED,9,01-Mar-15,600000,760000,,,2 FAMILY DWELLING,2,2,,9,4093,7,838,,KANSAS,ST,,,GENE,POLIS,4158231006,CONSTANTINE CONSTRUCTION,KANSAS,ST,SAN FRANCISCO,CA,94122-0000,,,ERECT A 4 STORIES 2 FAMILY DWELLING.,,,,,,,,,,,,,,,,,,,,,,,,,,
#200905208827,2,20-May-09,06-Mar-13,ISSUED,9,06-Mar-15,900000,986000,,,APARTMENTS,3,2,,12,4004,24,251,,ARKANSAS,ST,,,DENNIS,CULLINANE,4158619200,CULLINANE PLASTERING,BEULAH,ST,SAN FRANCISCO,CA,94117-0000,,,TO ERECT 3 STORY  3 FAMILY DWELLING OVER BASEMENT GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,
#200905208829,6,20-May-09,06-Mar-13,ISSUED,9,06-Jul-13,5000,5000,1 FAMILY DWELLING,1,,,2,,0,4004,24,251,,ARKANSAS,ST,,,DENNIS,CULLINANE,4158619200,CULLINANE PLASTERING,BEULAH,ST,SAN FRANCISCO,CA,94117-0000,,,TO DEMOLISH 3 STORY SINGLE FAMILY DWELLING.,,,,,,,,,,,,,,,,,,,,,,,,,,
#201012025978,2,02-Dec-10,01-Mar-13,ISSUED,9,01-Mar-15,800000,800000,,,2 FAMILY DWELLING,2,7,,31,1565,006A,551,,22ND,AV,,,,,,,,,,,,,,TO ERECT 3 STORIES  2 UNITS RESIDENTIAL BUILDING.,,,,,,,,,,,,,,,,,,,,,,,,,,
#201102049665,3,04-Feb-11,29-Mar-13,ISSUED,9,29-Mar-15,500000,1080000,2 FAMILY DWELLING,2,2 FAMILY DWELLING,2,2,Y,19,1003,36,2807,,CLAY,ST,,,JOHN,SCHRADER,4156268868,NOVA DESIGN BUILDS INC,KANSAS,ST,SAN FRANCISCO,CA,94103-0000,,,RENOVATION OF INTERIOR  HORIZONTAL ADDITION TO REAR OF BASEMENTAND FIRST LEVELS. VERTICAL ADDITION INCLUSIVE OF ADDITIONAL STORY AND ROOF DECK WITH PENTHOUSE  NEW EXTERIOR STAIR AT REAR.,,,,,,,,,,,,,,,,,,,,,,,,,,
#201106017181,1,01-Jun-11,01-Mar-13,ISSUED,9,01-Sep-17,14000000,14000000,,,APARTMENTS,27,2,,20,527,2,2559,,VAN NESS,AV,,,JAMES,PACE,4155465500,CANNON CONSTRUCTORS NORTH INC,HOWARD,ST,SAN FRANCISCO,CA,94105-0000,,,TO ERECT 7 STORIES  27 UNITS RESIDENTIAL / RETAIL / GARAGE BUILDING.,,,,,,,,,,,,,,,,,,,,,,,,,,
#201107120006,3,12-Jul-11,08-Mar-13,ISSUED,9,08-Jul-13,1,1,FOOD/BEVERAGE HNDLNG,1,FOOD/BEVERAGE HNDLNG,1,2,,4,861,75,663,,HAIGHT,ST,0,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,NO WORK BEING PERFORMED. SUBMITAL IS FOR CONDITIONAL USE AUTHORIZATION FOR USE OF EXISITNG REAR GARDEN AS PART OF EXISTING RESTAURANT.,,,,,,,,,,,,,,,,,,,,,,,,,,
