"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#200103093927,2,2001/03/09,2005/11/30,ISSUED,9,2007/11/30,100000,392000,,,"1 FAMILY DWELLING",1,7542,52,148,,BEACON,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"STEPHEN ANTONAROS",4158642261,"ERECT 4 STORY SINGLE FAMILY DWELLING",
#200105118928,2,2001/05/11,2005/11/18,ISSUED,9,2007/11/18,165000,390000,,,"2 FAMILY DWELLING",2,4991,116,701,,"LE CONTE",AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ERECT NEW BUILDING 3 STORIES  2 FAMILY DWELLING.",
#200105118928,2,2001/05/11,2005/11/18,ISSUED,9,2007/11/18,165000,390000,,,"2 FAMILY DWELLING",2,4991,116,703,,"LE CONTE",AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ERECT NEW BUILDING 3 STORIES  2 FAMILY DWELLING.",
#200109188571,3,2001/09/18,2005/11/04,ISSUED,9,2006/11/04,250000,250000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,3653,31,3973,,23RD,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"NOVA DESIGN",6268868,"RENOVATE EXTG DWELLING ON ALL FLOORS",
#200109208800,2,2001/09/20,2005/11/01,ISSUED,9,2007/11/01,483200,483200,,,"2 FAMILY DWELLING",2,2626,7,42,,ORD,ST,,,"RYAN ENGINEERING INC",,,"RYAN ENGINEERING INC","SOUTH MAPLE",AV,"SO SAN FRANCISCO",CA,94080,"LEVY DESIGN PARTNERS",7770561,"ERECT A FOUR STORY TWO UNITS RESIDENTIAL BLDG.",
#200109208800,2,2001/09/20,2005/11/01,ISSUED,9,2007/11/01,483200,483200,,,"2 FAMILY DWELLING",2,2626,7,40,,ORD,ST,,,"RYAN ENGINEERING INC",,,"RYAN ENGINEERING INC","SOUTH MAPLE",AV,"SO SAN FRANCISCO",CA,94080,"LEVY DESIGN PARTNERS",7770561,"ERECT A FOUR STORY TWO UNITS RESIDENTIAL BLDG.",
#200109208804,6,2001/09/20,2005/11/01,ISSUED,9,,,,"2 FAMILY DWELLING",2,,,2626,7,42,,ORD,ST,,,"DOMINIC FARRELLY",,7609091,"FARRELLY CONSTRUCTION",PIERCE,ST,"SAN FRANCSICO",CA,94117,,,"DEMOLISHING 2 DWELLING UNITS WITH 2 STORY BLDG",
#200109208804,6,2001/09/20,2005/11/01,ISSUED,9,,,,"2 FAMILY DWELLING",2,,,2626,7,40,,ORD,ST,,,"DOMINIC FARRELLY",,7609091,"FARRELLY CONSTRUCTION",PIERCE,ST,"SAN FRANCSICO",CA,94117,,,"DEMOLISHING 2 DWELLING UNITS WITH 2 STORY BLDG",
#200208022937,2,2002/08/02,2005/11/17,ISSUED,9,2007/11/17,400000,808000,,,OFFICE,0,5279,33,1675,,JERROLD,AV,,,,,,,,,,,,"DELTA DESIGN",4154955138,"ERECT 4 STORY WAREHOUSE & OFFICE",
#200209186733,2,2002/09/18,2005/11/17,ISSUED,9,2006/11/17,275000,275000,,,"1 FAMILY DWELLING",1,2607,35,278,A,ROOSEVELT,WY,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"BAR - 1660 BUSH STREET SF CA 94109 (C-12947)",4414771,"TO ERECT SINGLE FAMILY RESIDENCE",
#200209186747,6,2002/09/18,2005/11/17,ISSUED,9,,,,"PRKNG GARAGE/PRIVATE",0,,,2607,35,278,A,ROOSEVELT,WY,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"BAR - 1660 BUSH STREET SF CA 94109",4414771,"TO DEMOLISH GARAGE",
#200211252176,3,2002/11/25,2005/11/07,ISSUED,9,2007/11/07,500000,546000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,654,8,2334,,PINE,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"DICKSEN ENGINEERS C/O JOHN LAU",4158317180,"REMODEL & ADDITION TO A 2 STORY SINGLE FAMILY HOME TO MAKE IT 3 STORIES SINGLE FAMILY HOME ABOVE GARAGE",
#200212203957,1,2002/12/20,2005/11/03,ISSUED,9,2011/11/03,10000000,68000000,,,APARTMENTS,250,3702,37,1160,,MISSION,ST,,,ANDY,SHREK,4157732370,"WEBCOR CONSTRUCTION INC.","MARINERS ISLAND",BL,"SAN MATEO",CA,94404-0000,"JAIDIN CONSULTING GROUP",8633888,"ERECT 23 STORIES  250 DWELLING UNITS OF RETAIL/PARKING RESIDENTIAL BUILDING.",
#200212203957,1,2002/12/20,2005/11/03,ISSUED,9,2011/11/03,10000000,68000000,,,APARTMENTS,250,3702,56,1160,,MISSION,ST,,,ANDY,SHREK,4157732370,"WEBCOR CONSTRUCTION INC.","MARINERS ISLAND",BL,"SAN MATEO",CA,94404-0000,"JAIDIN CONSULTING GROUP",8633888,"ERECT 23 STORIES  250 DWELLING UNITS OF RETAIL/PARKING RESIDENTIAL BUILDING.",
#200212203957,1,2002/12/20,2005/11/03,ISSUED,9,2011/11/03,10000000,68000000,,,APARTMENTS,250,3702,38,1160,,MISSION,ST,,,ANDY,SHREK,4157732370,"WEBCOR CONSTRUCTION INC.","MARINERS ISLAND",BL,"SAN MATEO",CA,94404-0000,"JAIDIN CONSULTING GROUP",8633888,"ERECT 23 STORIES  250 DWELLING UNITS OF RETAIL/PARKING RESIDENTIAL BUILDING.",
#200305023653,3,2003/05/02,2005/11/08,ISSUED,9,2006/11/08,40000,40000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2954A,3,489,,TERESITA,BL,,,"YIU KWAN",LEUNG,4156018019,"ROYAL LYON CONSTRUCTION",LAKEWOOD,AV,"SAN FRANCISCO",CA,94127-0000,,,"ADD 1/2 BA TO (E) MAIN LEVEL. CONVERT PART OF (E) BASEMENT TO A STUDY. EXTEND @ REAR FOR STAIR ACCES",
#200305094176,6,2003/05/09,2005/11/23,ISSUED,9,,,,"1 FAMILY DWELLING",1,,,2648,32,39,,DIAMOND,ST,,,,,,,,,,,,"DICKSEN ENGINEERS C/O JOHN LAU",4158317181,"DEMOLISH A 1 STORY 1 DWELLING BLDG.",
#200305094178,2,2003/05/09,2005/11/23,ISSUED,9,2007/11/23,500000,950000,,,APARTMENTS,3,2648,32,39,,DIAMOND,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"DICKSEN ENGINEERS C/O JOHN LAU",4158317180,"ERECT A FOUR STORY THREE UNIT RESIDENTIAL BLDG",
#200307119307,3,2003/07/11,2005/11/07,ISSUED,9,2006/03/07,1,1,OFFICE,0,APARTMENTS,53,4080,11,2125,,BRYANT,ST,,,,,,,,,,,,"TONY SANCHEZ-COREA",4153338080,"REVISION TO SITE APPL #200005099445s  NEW RESIDENTIAL OCCUPANCY FOR SITE PERMIT. REVISION 200005099445S/S1. REVISE TYPE OF CONSTRUCTION TO TYPE II 1 HR AND # OF STORIES TO 3 FROM PREVIOUS APPRVD PERMIT",
#200309245627,3,2003/09/24,2005/11/29,ISSUED,9,2006/05/29,2500,7000,APARTMENTS,3,"1 FAMILY DWELLING",1,631,14,2614,,SACRAMENTO,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"JACE ARCHITECTURE",,"PROPERTY CONSISTS OF ONE. 3 UNIT RESIDENCE (ORIGINALLY BUILT AS SINGLE FAMILY RESIDENCE) & 1 REAR YARD COTTAGE. BUILDING PERMIT TO CONVERT 3 UNIT RESIDENCE BACK TO ORIGINAL STATUS AS SINGLE FAMILY BUILDING. REMOVE 2 KITCHENS & DIVIDING WALLS BETWEEN UNITS.",
#200309296049,2,2003/09/29,2005/11/30,ISSUED,9,2007/11/30,500000,900000,,,APARTMENTS,3,1150,19,2070,,"GOLDEN GATE",AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"WILLIAM PASHELINSKY",3793676,"ERECT A 3 STORY 3 UNIT RESIDENTIAL BLDG",
#200309296052,6,2003/09/29,2005/11/30,ISSUED,9,,,,APARTMENTS,3,,,1150,19,2070,,"GOLDEN GATE",AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"WILLIAM PASHELINSKY",3793676,"DEMOLISH A TWO STORY THREE UNIT RESIDENTIAL BLDG",
#200310167584,3,2003/10/16,2005/11/09,ISSUED,9,2006/11/09,45000,300000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,3597,26,3676,,20TH,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ADD STORY TO HOUSE  MAKE 2 UNITS",
