"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",PLANSETS,15_DAY_HOLD?,"EXISTING STORIES","PROPOSED STORIES","ASSESSOR STORIES","VOLUNTARY SOFT-STORY RETROFIT","NO OF PAGES",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET_NUMBER,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
#201308204710,2,2013/08/20,2014/11/03,ISSUED,9,2018/08/03,3000000,3000000,,,APARTMENTS,7,2,,,3,0,,46,4624,31,112,,"WEST POINT",RD,,,CHUCK,PALLEY,4156770619,"CAHILL-NIBBI JOINT VENTURE",425,"CALIFORNIA ST#23FL",,S.F,CA,94104-0000,,,"TO ERECT 3-STORY  TYPE 5  NO BASEMENT  7 DWELLING UNITS BUILDING."
#201308204717,1,2013/08/20,2014/11/03,ISSUED,9,2019/05/03,17600000,17600000,,,APARTMENTS,50,2,,,5,0,,42,4624,31,142,,"WEST POINT",RD,,,CHUCK,PALLEY,4156770619,"CAHILL-NIBBI JOINT VENTURE",425,"CALIFORNIA ST#23FL",,S.F,CA,94104-0000,,,"ERECT 5-STORY  TYPE 3  NO BASEMENT  50 DWELLING UNITS BUILDING."
#201308204718,2,2013/08/20,2014/11/03,ISSUED,9,2018/08/03,3400000,3400000,,,APARTMENTS,8,2,,,3,0,,24,4624,31,110,,"MIDDLE POINT",RD,,,CHUCK,PALLEY,4156770619,"CAHILL-NIBBI JOINT VENTURE",425,"CALIFORNIA ST#23FL",,S.F,CA,94104-0000,,,"TO ERECT 3-STORY  TYPE 5  NO BASEMENT  8 DWELLING UNITS BUILDING."
#201308204719,2,2013/08/20,2014/11/03,ISSUED,9,2018/08/03,3000000,3000000,,,APARTMENTS,7,2,,,3,0,,46,4624,31,120,,"MIDDLE POINT",RD,,,CHUCK,PALLEY,4156770619,"CAHILL-NIBBI JOINT VENTURE",425,"CALIFORNIA ST#23FL",,S.F,CA,94104-0000,,,"ERECT 3-STORY  TYPE 5  NO BASEMENT  7 DWELLING UNITS BUILDING."
#201308204720,1,2013/08/20,2014/11/03,ISSUED,9,2019/05/03,11100000,12000000,,,APARTMENTS,50,2,,,5,0,,46,4624,31,140,,"MIDDLE POINT",RD,,,CHUCK,PALLEY,4156770619,"CAHILL-NIBBI JOINT VENTURE",425,"CALIFORNIA ST#23FL",,S.F,CA,94104-0000,,,"ERECT 5-STORY  TYPE 3  1 BASEMENT/GARAGE  50 DWELLING UNITS BUILDING."
#201308204721,2,2013/08/20,2014/11/03,ISSUED,9,2018/08/03,3000000,3000000,,,APARTMENTS,7,2,,,3,0,,42,4624,31,148,,"MIDDLE POINT",RD,,,CHUCK,PALLEY,4156770619,"CAHILL-NIBBI JOINT VENTURE",425,"CALIFORNIA ST#23FL",,S.F,CA,94104-0000,,,"TO ERECT 3-STORY  TYPE 5  NO BASEMENT  7 DWELLING UNITS BUILDING."
#201311121711,3,2013/11/12,2014/11/03,ISSUED,9,2015/11/03,100000,100000,APARTMENTS,4,APARTMENTS,4,2,,2,2,2,Y,7,1029,13,2852,,PINE,ST,,,"J. L. KELLY CONSTRUCTION",,4158504789,"JAME L KELLY CONSTRUCTION",,"P.O. BOX 1195",*,TRUCKEE,CA,96160-0000,,,"VOLUNTARY SOFT STORY RETROFIT PER AB-094. REPLACE BRICK FOUNDATION WITH CONCRETE  INSTALL MOMENT FRAMES AND SHEARWALLS."
#201311121711,3,2013/11/12,2014/11/03,ISSUED,9,2015/11/03,100000,100000,APARTMENTS,4,APARTMENTS,4,2,,2,2,2,Y,7,1029,13,2854,,PINE,ST,,,"J. L. KELLY CONSTRUCTION",,4158504789,"JAME L KELLY CONSTRUCTION",,"P.O. BOX 1195",*,TRUCKEE,CA,96160-0000,,,"VOLUNTARY SOFT STORY RETROFIT PER AB-094. REPLACE BRICK FOUNDATION WITH CONCRETE  INSTALL MOMENT FRAMES AND SHEARWALLS."
#201403100332,4,2014/03/10,2014/11/03,ISSUED,9,2015/03/03,2000,2000,"RETAIL SALES",,,,2,,8,,8,,4,314,5,188,,OFARRELL,ST,,,RICHARD,LUCHINI,5105337693,"ARROW SIGN COMPANY",1051,46TH,AV,OAKLAND,CA,94601,,,"TO ERECT SINGLE FACED ELECTRIC SIGN"
#201404153231,3,2014/04/15,2014/11/03,ISSUED,9,2015/11/03,100000,230000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,,2,2,1,,38,5619,13,142,,BONVIEW,ST,,,DAVID,CAO,4157103828,"R & D CONSTRUCTION CO INC",224,ELMIRA,ST,"SAN FRANCISCO",CA,94124-0000,,,"INTERIOR REMODEL OF 2025 SQ FT HOUSE  NO NEW USABLE FLOOR AREA. TOTAL 3 BEDROOMS & 2 -1/2 BATHS. REPAIR (E) DECK LESS THAN 50%. INSTALLATION OF STRUCTURAL ELEMENTS IN ANTICUPATION OF A FUTURE VERTICAL ADDITION WHICH IS NOT PART OF THIS PERMIT."
