"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
#200110130668,1,2001/10/13,2006/10/06,ISSUED,9,2010/07/06,5000000,172000000,,,OFFICE,0,3721,80,555,,MISSION,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"JAIDIN CONSULTING GROUP",8633888,"T0 ERECT 30 STORIES OF OFFICE BUILDING"
#200303109211,2,2003/03/10,2006/10/16,ISSUED,9,2007/10/16,200000,260000,,,"1 FAMILY DWELLING",1,5534,39,343,,MULLEN,AV,,,QING-HE,ZHANG,4152358872,"J K CONSTRUCTION CO",25TH,AV,"SAN FRANCISCO",CA,94122,,,"ERECT A THREE STORY SINGLE FAMILY DWELLING."
#200306227575,3,2003/06/22,2006/10/23,ISSUED,9,2007/04/23,1,8000,"FOOD/BEVERAGE HNDLNG",0,"FOOD/BEVERAGE HNDLNG",0,4017,1,535,,FLORIDA,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"RESTAURANT EQUIPMENT DESIGN",,"OCCUPANCY CLASSIFICATION REMAINS A-3 BASED ON REMOVAL OF POOL TABLES AND DINING TABLE. NEW WOMEN'S RESTROOM @ 1ST LEVEL UNDER THIS PERMIT & UPGRADE BUILDING 1 HOUR RATED."
#200307280556,3,2003/07/28,2006/10/25,ISSUED,9,2008/10/25,750000,845000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,2764,21,3715,,MARKET,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"JAN THRELKELD  AIA",4159314222,"REMODEL (E)SINGLE FAMILY RES. INTO 2 (N)FAMILY RES. WITH ROOF DECK. CREATE (N) 2 CAR GARAGE REPLACE (E) 10' CURB CUT WITH (N) 10' CURB CUT."
#200308202611,3,2003/08/20,2006/10/05,ISSUED,9,2008/10/05,750000,500000,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,3568,68,141,,ALBION,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"TOPETCHER ARCH.",,"REMOVE/ABATE 2 ILLEGAL APARTMENTS. ADD TO (E) STRUCTURE. CREATE NEW 5 CAR PARKING GARGAGE @ BASEMENT  WITH 2 & 3 STORY ADDITION. CONVERT PORTION OF (E) STRUCTURE INTO 2 SEPERATE UNITS. ADD NEW MEZZ FLOOR & ROOF ADDITION ABOVE MIDDLE PORTION OF (E) STRUCTURE."
#200310228304,3,2003/10/22,2006/10/19,ISSUED,9,2007/10/19,300000,300000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,1057,5,75,,LUPINE,AV,,,OWNER,,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"3RD STORY ADDITION W/MEZZANINE."
#200310228304,3,2003/10/22,2006/10/19,ISSUED,9,2007/10/19,300000,300000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,1057,5,73,,LUPINE,AV,,,OWNER,,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"3RD STORY ADDITION W/MEZZANINE."
#200401164243,3,2004/01/16,2006/10/03,ISSUED,9,2008/10/03,995000,995000,APARTMENTS,6,APARTMENTS,6,148,10,870,,BROADWAY,*,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,"JACK TAM",4154098808,"REMODEL EXTERIOR (BOTH FRONT AND REAR FACADES)REMODEL OF INTERIOR SPRINKLER UNDER FUTURE PERMIT ADDITION OF REAR DECK & STAIRS EXPANSION OF STRUCTURE 4'-0"" @ REAR (ALL WITHIN SETBACK) COMPLETE RENOVATION: MECH  ELEC. STRUCT. PLUMBING (INCLUDING ARCH & SEISMIC)"
#200405042978,3,2004/05/04,2006/10/24,ISSUED,9,2007/10/24,80000,350000,APARTMENTS,15,APARTMENTS,18,3557,57,1935,,15TH,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"RENOVATION ON FIRST FLOOR FOR 3 RESIDENTIAL UNITS NO BUILDING ENVELOPE ENLARGEMENT. NO BEARING WALLS AFFECTED."
#200405042978,3,2004/05/04,2006/10/24,ISSUED,9,2007/10/24,80000,350000,APARTMENTS,15,APARTMENTS,18,3557,57,1947,,15TH,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"RENOVATION ON FIRST FLOOR FOR 3 RESIDENTIAL UNITS NO BUILDING ENVELOPE ENLARGEMENT. NO BEARING WALLS AFFECTED."
