"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#200210280113,6,2002/10/28,2008/10/09,ISSUED,9,,,,"1 FAMILY DWELLING",1,,,6942,39,244,,GRANADA,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"DEMOLISH A TWO STORY  SINGLE FAMILY DWELLING BUILDING.",
#200403309962,2,2004/03/30,2008/10/02,ISSUED,9,2010/10/02,250000,930000,,,"1 FAMILY DWELLING",1,5943,25,711,,PERU,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ERECT FOUR STORY SINGLE FAMILY DWELLING",
#200406015250,3,2004/06/01,2008/10/17,ISSUED,9,2009/10/17,90000,366000,"FOOD/BEVERAGE HNDLNG",0,"1 FAMILY DWELLING",1,6635,3,3318,,MISSION,ST,,,,,,,,,,,,,,"CONSTRUCTI A SINGLE FAMILY DEWELLING ABOVE THE 2ND LEVEL OF WOOD FRAME STRUCTURE.",
#200503167706,2,2005/03/16,2008/10/10,ISSUED,9,2009/10/10,200000,200000,,,"WAREHOUSE NO FRNITUR",0,4287,22,1239,,CONNECTICUT,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO ERECT 1 STORY WAREHOUSE.",
#200506286293,3,2005/06/28,2008/10/09,ISSUED,9,2010/10/09,300000,383000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,6597,007U,619,,"SAN JOSE",AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ADDITIONAL STORY (VERTICAL ADDITION) AND EXTENSION INTO REAR",
#200508220874,3,2005/08/22,2008/10/23,ISSUED,9,2009/10/23,180000,210000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,5541,29,309,,RUTLEDGE,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"HORIZONTAL & VERTICAL ADDITION: RESTORE (E) FRONT PORTION OF BLDG. REHAB (E) NON CONFORMING REAR ADDITION TO CREATE 2 STORY REAR",
#200512059454,6,2005/12/05,2008/10/03,ISSUED,9,,,,"1 FAMILY DWELLING",1,,,6205,7,3930,,"SAN BRUNO",AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"DEMOLISH 2 STORIES  1 DWELLING UNIT BLDG.",
#200512059463,2,2005/12/05,2008/10/03,ISSUED,9,2010/10/03,250000,389440,,,"1 FAMILY DWELLING",1,6205,7,3918,,"SAN BRUNO",AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ERECT 3 STORIES 1 DWELLING UNIT.",
#200512059465,2,2005/12/05,2008/10/03,ISSUED,9,2010/10/03,250000,470000,,,"1 FAMILY DWELLING",1,6205,7,3920,,"SAN BRUNO",AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ERECT 3 STORIES 1 DWELLING UNIT.",
#200606133867,3,2006/06/13,2008/10/06,ISSUED,9,2010/10/06,560250,560250,"1 FAMILY DWELLING",1,"2 FAMILY DWELLING",2,1629,22,676,,16TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"EXTENDING TO REAR OF YARD BY 14' - 4 1/2"" PLUS ADDITION OF 2 STORIES OVER (E) TO CREATE A NEW UNIT.",
#200608290915,3,2006/08/29,2008/10/30,ISSUED,9,2009/02/28,5000,5000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,5398,2,130,,LEDYARD,ST,,,OWNER,,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"COMPLY WITH NOV 200671276  LEGALIZE DECK AT REAR APPROX 25'X10'.",
#200610104540,3,2006/10/10,2008/10/07,ISSUED,9,2009/10/07,280000,300000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,912,007A,561,,MARINA,BL,,,"MAYTA & JENSEN",,4158222200,"MAYTA & JENSEN",WILLIAMS,AV,"SAN FRANCISCO",CA,94124,,,"UPGRADE FOUNDATIONS  SEISMIC SYSTEM INCLUDING NEW STEEL MOMENT FRAME AT FRONT ELEVATION  REPLACE WINDOWS & FINISHES AT FRONT FACADE. UPGRADE KITCHEN & BATHROOMS.",
#200611228359,3,2006/11/22,2008/10/29,ISSUED,9,2009/10/29,50000,50000,OFFICE,0,OFFICE,0,116,020B,1520,,STOCKTON,ST,,,"PRECISION COMMUNICATION SERVIC",,6024261133,"PRECISION COMMUNICATION SERVICES","SOUTH 37TH",ST,PHOENIX,AZ,85040-0000,,,"DEMOLITION OF (E) WIRELESS TELECOMMUNICATION CABINETS AND EQUIPMENT INSIDE 6TH FLOOR OFFICE. AND INSTALLATION OF COAX CABLES AND CONDUIT UP THE SIDE OF THE BUILDING TO FEED (E) ROOFTOP ANTENNAS.",
#200701051057,2,2007/01/05,2008/10/09,ISSUED,9,2010/10/09,280000,437169,,,"2 FAMILY DWELLING",2,6942,39,244,,GRANADA,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO ERECT A NEW 3-STORY  TWO UNITS DWELLING WITH NO BASEMENT BUILDING.",
#200701121646,2,2007/01/12,2008/10/30,ISSUED,9,2010/10/30,250000,367000,,,"1 FAMILY DWELLING",1,3632,38,145,,AMES,ST,0,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"TO ERECT 3 STORIES  SINGLE FAMILY DWELLING UNIT.",
